STATE,STATE,PERCENTAGE
National,National,28.9
Alabama,Alabama,33.5
Alaska,Alaska,29.7
Arizona,Arizona,28.9
Arkansas,Arkansas,35.9
California,California,24.7
Colorado,Colorado,21.3
Connecticut,Connecticut,26.3
Delaware,Delaware,30.7
District of Columbia,District of Columbia,21.7
Florida,Florida,26.2
Georgia,Georgia,30.5
Hawaii,Hawaii,22.1
Idaho,Idaho,28.9
Illinois,Illinois,29.3
Indiana,Indiana,32.7
Iowa,Iowa,30.9
Kansas,Kansas,31.3
Kentucky,Kentucky,31.6
Louisiana,Louisiana,34.9
Maine,Maine,28.2
Maryland,Maryland,29.6
Massachusetts,Massachusetts,23.3
Michigan,Michigan,30.7
Minnesota,Minnesota,27.6
Mississippi,Mississippi,35.5
Missouri,Missouri,30.2
Montana,Montana,26.4
Nebraska,Nebraska,30.2
Nevada,Nevada,27.7
New Hampshire,New Hampshire,27.4
New Jersey,New Jersey,26.9
New Mexico,New Mexico,28.4
New York,New York,27.0
North Carolina,North Carolina,29.7
North Dakota,North Dakota,32.2
Ohio,Ohio,32.6
Oklahoma,Oklahoma,33.0
Oregon,Oregon,27.9
Pennsylvania,Pennsylvania,30.2
Rhode Island,Rhode Island,27.0
South Carolina,South Carolina,32.1
South Dakota,South Dakota,29.8
Tennessee,Tennessee,31.2
Texas,Texas,31.9
Utah,Utah,25.7
Vermont,Vermont,24.8
Virginia,Virginia,28.5
Washington,Washington,27.3
West Virginia,West Virginia,35.7
Wisconsin,Wisconsin,31.2
Wyoming,Wyoming,29.5
Guam,Guam,28.0
Puerto Rico,Puerto Rico,28.3
