country,Percentage of Suicide,suicides_no,population
Lithuania,0.04118221857581111,28039,68085210
Russian Federation,0.03277720660120264,1209742,3690802620
Sri Lanka,0.030483938731978376,55641,182525626
Belarus,0.03034468485576486,59892,197372292
Hungary,0.029717557601652376,73891,248644256
Latvia,0.02847101084796792,12770,44852640
Kazakhstan,0.02689861441885199,101546,377513869
Slovenia,0.02636047687654747,10615,40268619
Estonia,0.02596452450111311,7034,27090810
Ukraine,0.024870397517427045,319950,1286469184
Finland,0.023728619951157808,33677,141925658
Japan,0.02192058011548699,806902,3681024844
Belgium,0.02069253466820519,62761,303302621
Guyana,0.02064528383318201,3426,16594589
Austria,0.020534084345060637,50073,243853094
Croatia,0.02009040606418262,18429,91730351
France,0.019699276694538616,329127,1670756775
Mongolia,0.019514769635756594,423,2167589
Republic of Korea,0.019316652141795967,261730,1354944936
Serbia,0.019168363364244934,24179,126140138
Suriname,0.018609416106801897,2166,11639269
Switzerland,0.017478697982672774,26217,149994010
Czech Republic,0.016541430590851707,43687,264106540
Cuba,0.01644941344861993,41418,251790133
Poland,0.01605878631958161,139098,866180029
Bulgaria,0.01568854298059328,36388,231939958
Uruguay,0.01562764979690538,13138,84068943
Luxembourg,0.015116007249507379,1958,12953156
Sweden,0.014921211247355187,37795,253297131
Germany,0.014384192207852024,291262,2024875612
New Zealand,0.01395182850629297,14383,103090430
Denmark,0.01363585079378756,15297,112182219
Norway,0.013277791759450173,16992,127973087
Iceland,0.013178076248254024,1108,8407904
Canada,0.013021090218461416,107561,826052183
Trinidad and Tobago,0.012927655667426312,4039,31243097
Australia,0.01292659873057559,70111,542377786
United States,0.012838459247711695,1034013,8054027201
Romania,0.01265541775770165,72777,575065963
Slovakia,0.012015160401586594,13437,111833713
Mauritius,0.011654527132825604,3894,33411909
Ireland,0.011533273604416567,12574,109023686
Kyrgyzstan,0.011365393879446269,13090,115174187
Singapore,0.010705367871360632,10089,94242441
Netherlands,0.010693551055797102,50833,475361269
Chile,0.009563283531547302,40895,427625092
El Salvador,0.0093701102769666,11683,124683698
Cabo Verde,0.009288357044444789,42,452179
Portugal,0.009209641369575831,24061,261258816
Puerto Rico,0.008580785275171303,9043,105386625
Spain,0.008162024552875482,100202,1227661095
Montenegro,0.008089307323925172,472,5834863
Aruba,0.008017928405456318,101,1259677
Argentina,0.00793630851745057,82219,1035985431
United Kingdom,0.007867928171523859,136805,1738767780
Macau,0.007791263396644562,27,346542
Italy,0.007700095320719595,132060,1715043704
Turkmenistan,0.007461703955199736,8624,115576818
Uzbekistan,0.007154890596227562,34803,486422532
Kiribati,0.007146651995803702,53,741606
Seychelles,0.0070361052716223825,98,1392816
Thailand,0.006981510624807872,110643,1584800281
Costa Rica,0.006647302320758018,6792,102176788
Israel,0.006525615832893574,11294,173071788
Nicaragua,0.0063416289379649125,2013,31742633
Ecuador,0.006000093108898872,20660,344327990
Saint Lucia,0.005881570737395538,230,3910520
Belize,0.005533457942141972,348,6289015
Malta,0.0052104658575095235,585,11227403
Saint Vincent and Grenadines,0.00508684140787361,124,2437662
San Marino,0.00507453219156359,4,78825
Panama,0.004956902204532089,3483,70265659
Colombia,0.004790864650757349,53080,1107941966
Brazil,0.004666569903566445,226613,4856093548
Bosnia and Herzegovina,0.004339827015586939,318,7327481
Mexico,0.004007956613399224,111139,2772959159
Greece,0.003912734071810218,12368,316096105
Paraguay,0.003837391240184917,4783,124641969
Fiji,0.0037130265306738134,304,8187391
Cyprus,0.0035494408682966183,412,11607462
Georgia,0.003444488604554759,3224,93598800
Albania,0.003160826697054673,1970,62325467
Barbados,0.002848548471431875,177,6213691
Bahrain,0.002763531365722876,463,16753926
Guatemala,0.0026686722961035384,8149,305357837
Qatar,0.0026245345051986585,574,21870545
Armenia,0.0024628894595868475,1905,77348173
Turkey,0.002099077528461956,10131,482640582
Philippines,0.0020026886936033417,21330,1065068179
United Arab Emirates,0.0017040033806112083,622,36502275
Kuwait,0.0016914728633033755,966,57109991
Grenada,0.0016188909233898212,38,2347286
Azerbaijan,0.0014813449825253175,1656,111790300
Bahamas,0.0014183211713563787,93,6557048
South Africa,0.0008384769290719367,7321,873130762
Maldives,0.0006895966755923463,20,2900246
Antigua and Barbuda,0.0005527004946166971,11,1990228
Jamaica,0.00046603731535455934,184,39481817
Oman,0.0003671935077517331,33,8987087
Dominica,0.0,0,66400
Saint Kitts and Nevis,0.0,0,117300
