STATE,YEAR,STATE,RATE,DEATHS
Alabama,2014,Alabama,14.5,715
Alaska,2014,Alaska,22.1,167
Arizona,2014,Arizona,18.0,"1,244"
Arkansas,2014,Arkansas,17.3,515
California,2014,California,10.5,"4,214"
Colorado,2014,Colorado,19.9,"1,083"
Connecticut,2014,Connecticut,9.8,379
Delaware,2014,Delaware,13.2,126
Florida,2014,Florida,13.9,"3,035"
Georgia,2014,Georgia,12.6,"1,294"
Hawaii,2014,Hawaii,13.8,204
Idaho,2014,Idaho,20.0,320
Illinois,2014,Illinois,10.5,"1,398"
Indiana,2014,Indiana,14.3,948
Iowa,2014,Iowa,12.9,407
Kansas,2014,Kansas,15.7,455
Kentucky,2014,Kentucky,15.9,727
Louisiana,2014,Louisiana,14.3,679
Maine,2014,Maine,15.7,220
Maryland,2014,Maryland,9.8,606
Massachusetts,2014,Massachusetts,8.2,596
Michigan,2014,Michigan,13.3,"1,354"
Minnesota,2014,Minnesota,12.2,686
Mississippi,2014,Mississippi,12.5,380
Missouri,2014,Missouri,16.3,"1,017"
Montana,2014,Montana,23.9,251
Nebraska,2014,Nebraska,13.4,251
Nevada,2014,Nevada,19.6,573
New Hampshire,2014,New Hampshire,17.8,247
New Jersey,2014,New Jersey,8.3,786
New Mexico,2014,New Mexico,21.0,449
New York,2014,New York,8.1,"1,700"
North Carolina,2014,North Carolina,13.0,"1,351"
North Dakota,2014,North Dakota,17.8,137
Ohio,2014,Ohio,12.6,"1,491"
Oklahoma,2014,Oklahoma,19.1,736
Oregon,2014,Oregon,18.6,782
Pennsylvania,2014,Pennsylvania,13.3,"1,817"
Rhode Island,2014,Rhode Island,10.1,113
South Carolina,2014,South Carolina,15.2,753
South Dakota,2014,South Dakota,17.1,141
Tennessee,2014,Tennessee,14.1,948
Texas,2014,Texas,12.2,"3,254"
Utah,2014,Utah,20.5,559
Vermont,2014,Vermont,18.7,124
Virginia,2014,Virginia,12.9,"1,122"
Washington,2014,Washington,15.2,"1,119"
West Virginia,2014,West Virginia,18.1,359
Wisconsin,2014,Wisconsin,13.1,769
Wyoming,2014,Wyoming,20.6,120
